City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Kachug,RU,2022-03-12 23:18:20,53.9606,105.8817,1.92,97,100,3.67
67,Busselton,AU,2022-03-12 23:18:21,-33.65,115.3333,65.14,88,60,6.78
68,Bethel,US,2022-03-12 23:18:21,41.3712,-73.414,24.49,84,100,11.01
69,Qarchi Gak,AF,2022-03-12 23:18:22,37.04,66.7889,65.44,65,87,10.83
70,Arraial Do Cabo,BR,2022-03-12 23:18:22,-22.9661,-42.0278,78.12,88,100,3.04
71,Kerman,IR,2022-03-12 23:18:23,30.2832,57.0788,60.66,33,0,4.61
72,Kennesaw,US,2022-03-12 23:15:44,34.0234,-84.6155,34.36,37,0,17.27
73,Sorland,NO,2022-03-12 23:18:23,67.667,12.6934,39.54,76,8,14.18
74,Esso,RU,2022-03-12 23:18:24,55.9333,158.7,16.23,91,64,2.98
75,Morant Bay,JM,2022-03-12 23:18:25,17.8815,-76.4093,80.71,79,3,7.45
76,Padang,ID,2022-03-12 23:18:25,-0.9492,100.3543,75.25,85,99,3.49
77,Okhotsk,RU,2022-03-12 23:17:06,59.3833,143.3,17.17,93,100,5.64
78,Sioux Lookout,CA,2022-03-12 23:18:26,50.1001,-91.917,12.27,44,100,6.91
79,Qaanaaq,GL,2022-03-12 23:18:26,77.484,-69.3632,-15.11,71,6,5.41
80,Mar Del Plata,AR,2022-03-12 23:18:27,-38.0023,-57.5575,66.09,79,0,14.0
81,Lompoc,US,2022-03-12 23:18:27,34.6391,-120.4579,76.01,57,0,12.66
82,Vila Franca Do Campo,PT,2022-03-12 23:18:28,37.7167,-25.4333,56.19,75,100,5.73
83,Akyab,MM,2022-03-12 23:18:29,20.15,92.9,72.55,47,42,6.02
84,Poum,NC,2022-03-12 23:18:29,-20.2333,164.0167,81.95,74,11,6.2
85,Albany,US,2022-03-12 23:18:30,42.6001,-73.9662,21.16,73,100,1.99
86,Maple Creek,CA,2022-03-12 23:18:30,49.9168,-109.4848,41.41,52,86,6.91
87,Santa Maria,BR,2022-03-12 23:17:05,-29.6842,-53.8069,66.87,67,73,9.55
88,De-Kastri,RU,2022-03-12 23:18:31,51.4667,140.7833,17.65,94,82,1.19
89,Norman Wells,CA,2022-03-12 23:18:31,65.282,-126.8329,-3.96,54,75,23.02
90,Severo-Kurilsk,RU,2022-03-12 23:18:32,50.6789,156.125,32.4,82,88,5.59
91,Nikki,BJ,2022-03-12 23:18:32,9.9401,3.2108,86.14,28,92,4.32
