,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
130,Bambous Virieux,MU,76.21,clear sky,-20.3428,57.7575,Casa Tia Villa
131,Codrington,AU,64.98,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
132,Isangel,VU,83.48,scattered clouds,-19.55,169.2667,Tanna Lodge
133,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
134,Encruzilhada Do Sul,BR,62.19,clear sky,-30.5439,-52.5219,Conceição Palace Hotel
135,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
137,Bonthe,SL,78.13,broken clouds,7.5264,-12.505,Bonthe Holiday Village
138,Chuy,UY,62.73,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
139,Vanimo,PG,85.01,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
140,Flinders,AU,70.25,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
145,Yei,SS,70.02,overcast clouds,4.095,30.6779,City Link Hotel
146,Kutum,SD,61.05,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
147,San Patricio,US,78.19,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
148,Port Alfred,ZA,64.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
149,Playa Vicente,MX,83.64,broken clouds,17.8333,-95.8167,"Hotel ""Imperio"""
154,Aron,IN,76.66,clear sky,24.3833,77.4167,Shri Ram marriage garden aron
155,Castro,BR,63.03,clear sky,-24.7911,-50.0119,CHACARA BAILLY
158,Kavieng,PG,84.11,broken clouds,-2.5744,150.7967,Nusa Island Retreat
159,Batouri,CM,72.46,scattered clouds,4.4333,14.3667,Hotel Hollywood
160,Port Hedland,AU,86.05,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
161,Soyo,AO,80.73,overcast clouds,-6.1349,12.3689,Hotel Mpampa
162,Tayuman,PH,86.14,overcast clouds,14.5142,121.1622,Villa Jhoana Resort
163,Sao Jose De Piranhas,BR,73.27,moderate rain,-7.1206,-38.5019,Hotel Pousada São José
175,Tiruchchendur,IN,80.26,clear sky,8.4833,78.1167,Hotel Udhayam International
176,Ajdabiya,LY,62.06,clear sky,30.7554,20.2263,Almadina Hotel
177,San Buenaventura,MX,88.45,broken clouds,27.0833,-101.5333,Hotel Gran Plaza
178,Denpasar,ID,78.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
181,Hualmay,PE,71.71,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
183,Port Elizabeth,ZA,65.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
184,Aswan,EG,62.42,overcast clouds,24.0934,32.907,Nuba Nile
186,Presidencia Roque Saenz Pena,AR,70.84,clear sky,-26.7852,-60.4388,Hotel Gualok
187,Kaitangata,NZ,65.46,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
189,Saint George,US,84.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
190,Odweyne,SO,69.4,scattered clouds,9.4092,45.064,Eng Hiirey House
191,Jaciara,BR,73.13,broken clouds,-15.9653,-54.9683,Taba Hotel
194,Gushikawa,JP,63.63,overcast clouds,26.3544,127.8686,Kirari Guest House
195,Caravelas,BR,76.03,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
196,Bull Savanna,JM,75.34,broken clouds,17.8868,-77.5902,Big Red's
203,Payo,ID,72.46,broken clouds,-3.7508,103.6372,Mess keban agung
205,Naze,JP,63.0,overcast clouds,28.3667,129.4833,Shishime Hotel
209,Belmonte,BR,78.03,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
210,Diego De Almagro,CL,68.32,clear sky,-26.3667,-70.05,hotel luna del desierto
211,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
212,Byron Bay,AU,69.94,light rain,-28.65,153.6167,Backpackers Inn
213,Mar Del Plata,AR,61.88,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
214,Fortuna,US,64.92,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
